2024-10-03 18:11:32,051 INFO    StreamThr :120679 [internal.py:wandb_internal():85] W&B internal server running at pid: 120679, started at: 2024-10-03 18:11:32.050331
2024-10-03 18:11:32,054 DEBUG   HandlerThread:120679 [handler.py:handle_request():158] handle_request: status
2024-10-03 18:11:32,058 INFO    WriterThread:120679 [datastore.py:open_for_write():87] open: /home/geo_llm/llama3-finetune/wandb/run-20241003_181132-2ns1aqzc/run-2ns1aqzc.wandb
2024-10-03 18:11:32,059 DEBUG   SenderThread:120679 [sender.py:send():391] send: header
2024-10-03 18:11:32,060 DEBUG   SenderThread:120679 [sender.py:send():391] send: run
2024-10-03 18:11:37,057 DEBUG   HandlerThread:120679 [handler.py:handle_request():158] handle_request: keepalive
2024-10-03 18:11:37,829 INFO    SenderThread:120679 [dir_watcher.py:__init__():211] watching files in: /home/geo_llm/llama3-finetune/wandb/run-20241003_181132-2ns1aqzc/files
2024-10-03 18:11:37,830 INFO    SenderThread:120679 [sender.py:_start_run_threads():1200] run started: 2ns1aqzc with start time 1727946692.048504
2024-10-03 18:11:37,830 DEBUG   HandlerThread:120679 [handler.py:handle_request():158] handle_request: status_report
2024-10-03 18:11:37,842 DEBUG   HandlerThread:120679 [handler.py:handle_request():158] handle_request: run_start
2024-10-03 18:11:37,890 DEBUG   HandlerThread:120679 [system_info.py:__init__():26] System info init
2024-10-03 18:11:37,890 DEBUG   HandlerThread:120679 [system_info.py:__init__():41] System info init done
2024-10-03 18:11:37,890 INFO    HandlerThread:120679 [system_monitor.py:start():194] Starting system monitor
2024-10-03 18:11:37,891 INFO    SystemMonitor:120679 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-03 18:11:37,891 INFO    HandlerThread:120679 [system_monitor.py:probe():214] Collecting system info
2024-10-03 18:11:37,891 INFO    SystemMonitor:120679 [interfaces.py:start():188] Started cpu monitoring
2024-10-03 18:11:37,892 INFO    SystemMonitor:120679 [interfaces.py:start():188] Started disk monitoring
2024-10-03 18:11:37,894 INFO    SystemMonitor:120679 [interfaces.py:start():188] Started gpu monitoring
2024-10-03 18:11:37,894 INFO    SystemMonitor:120679 [interfaces.py:start():188] Started memory monitoring
2024-10-03 18:11:37,895 INFO    SystemMonitor:120679 [interfaces.py:start():188] Started network monitoring
2024-10-03 18:11:37,921 DEBUG   HandlerThread:120679 [system_info.py:probe():152] Probing system
2024-10-03 18:11:37,923 DEBUG   HandlerThread:120679 [system_info.py:_probe_git():137] Probing git
2024-10-03 18:11:37,933 DEBUG   HandlerThread:120679 [system_info.py:_probe_git():145] Probing git done
2024-10-03 18:11:37,933 DEBUG   HandlerThread:120679 [system_info.py:probe():200] Probing system done
